"","State","rate","Rank","abb"
"1","Hawaii",2.1,1,"HI"
"2","New Hampshire",2.6,2,"NH"
"3","North Dakota",2.6,2,"ND"
"4","Nebraska",2.8,4,"NE"
"5","Vermont",2.8,4,"VT"
"6","Iowa",2.9,6,"IA"
"7","Maine",2.9,6,"ME"
"8","Wisconsin",2.9,6,"WI"
"9","Colorado",3,9,"CO"
"10","Idaho",3,9,"ID"
"11","Utah",3.1,11,"UT"
"12","Indiana",3.2,12,"IN"
"13","Minnesota",3.2,12,"MN"
"14","Kansas",3.4,14,"KS"
"15","South Dakota",3.4,14,"SD"
"16","Tennessee",3.4,14,"TN"
"17","Massachusetts",3.5,17,"MA"
"18","Virginia",3.5,17,"VA"
"19","Alabama",3.7,19,"AL"
"20","Missouri",3.7,19,"MO"
"21","Arkansas",3.8,21,"AR"
"22","Florida",3.9,22,"FL"
"23","Texas",4,23,"TX"
"24","Wyoming",4,23,"WY"
"25","Kentucky",4.1,25,"KY"
"26","Montana",4.1,25,"MT"
"27","Oklahoma",4.1,25,"OK"
"28","Oregon",4.1,25,"OR"
"29","Maryland",4.2,29,"MD"
"30","California",4.3,30,"CA"
"31","Delaware",4.4,31,"DE"
"32","South Carolina",4.4,31,"SC"
"33","Georgia",4.5,33,"GA"
"34","Louisiana",4.5,33,"LA"
"35","Mississippi",4.5,33,"MS"
"36","North Carolina",4.5,33,"NC"
"37","Ohio",4.5,33,"OH"
"38","Rhode Island",4.5,33,"RI"
"39","Connecticut",4.6,39,"CT"
"40","New Jersey",4.6,39,"NJ"
"41","New York",4.6,39,"NY"
"42","Illinois",4.7,42,"IL"
"43","Washington",4.7,42,"WA"
"44","Michigan",4.8,44,"MI"
"45","Pennsylvania",4.8,44,"PA"
"46","Arizona",4.9,46,"AZ"
"47","Nevada",4.9,46,"NV"
"48","West Virginia",5.4,48,"WV"
"50","New Mexico",5.8,50,"NM"
"51","Alaska",7.3,51,"AK"
